student_id,display_name,section_label,final_grade,current_grade,final_score,current_score,override_score,override_grade,assignment_scores
040100101,"Wayne, Bruce",CECS 378 Sec01 20001,B,B,89.75,89.75,,,"{""Exam 1"": ""44.00"", ""Lab 1 - Symmetric Cryptography"": ""95.00"", ""Lab 2 - Exploiting Buffers"": ""88.00"", ""Lab 3 - Access Control"": ""92.00""}"
040100102,"Grayson, Dick",CECS 378 Sec01 20001,C,C,79.50,79.50,,,"{""Exam 1"": ""38.00"", ""Lab 1 - Symmetric Cryptography"": ""80.00"", ""Lab 2 - Exploiting Buffers"": ""75.00"", ""Lab 3 - Access Control"": ""85.00""}"
040100103,"Gordon, Barbara",CECS 378 Sec01 20001,A,A,95.25,95.25,,,"{""Exam 1"": ""48.00"", ""Lab 1 - Symmetric Cryptography"": ""100.00"", ""Lab 2 - Exploiting Buffers"": ""95.00"", ""Lab 3 - Access Control"": ""98.00""}"
040100104,"Kyle, Selina",CECS 378 Sec01 20001,D,C,69.50,69.50,,,"{""Exam 1"": ""31.00"", ""Lab 1 - Symmetric Cryptography"": ""70.00"", ""Lab 2 - Exploiting Buffers"": ""65.00"", ""Lab 3 - Access Control"": ""72.00""}"
040100105,"Cobblepot, Oswald",CECS 378 Sec01 20001,F,F,58.75,58.75,,,"{""Exam 1"": ""22.00"", ""Lab 1 - Symmetric Cryptography"": ""55.00"", ""Lab 2 - Exploiting Buffers"": ""60.00"", ""Lab 3 - Access Control"": ""58.00""}"
040100106,"Dent, Harvey",CECS 378 Sec01 20001,B,B,88.50,88.50,,,"{""Exam 1"": ""45.00"", ""Lab 1 - Symmetric Cryptography"": ""88.00"", ""Lab 2 - Exploiting Buffers"": ""90.00"", ""Lab 3 - Access Control"": ""91.00""}"
040100107,"Isley, Pamela",CECS 378 Sec01 20001,B,B,87.25,87.25,,,"{""Exam 1"": ""43.00"", ""Lab 1 - Symmetric Cryptography"": ""92.00"", ""Lab 2 - Exploiting Buffers"": ""85.00"", ""Lab 3 - Access Control"": ""89.00""}"
040100108,"Nashton, Edward",CECS 378 Sec01 20001,C,C,77.00,77.00,,,"{""Exam 1"": ""35.00"", ""Lab 1 - Symmetric Cryptography"": ""78.00"", ""Lab 2 - Exploiting Buffers"": ""80.00"", ""Lab 3 - Access Control"": ""75.00""}"
040100109,"Kane, Kate",CECS 378 Sec01 20001,A,A,97.00,97.00,,,"{""Exam 1"": ""50.00"", ""Lab 1 - Symmetric Cryptography"": ""100.00"", ""Lab 2 - Exploiting Buffers"": ""98.00"", ""Lab 3 - Access Control"": ""100.00""}"
040100110,"Todd, Jason",CECS 378 Sec01 20001,F,F,61.25,61.25,,,"{""Exam 1"": ""28.00"", ""Lab 1 - Symmetric Cryptography"": ""60.00"", ""Lab 2 - Exploiting Buffers"": ""55.00"", ""Lab 3 - Access Control"": ""62.00""}"
