Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,True,False,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2101,Bruce,Wayne,040100101,bwayne@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1002,2102,Dick,Grayson,040100102,dgrayson@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1003,2103,Barbara,Gordon,040100103,bgordon@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1004,2104,Selina,Kyle,040100104,skyle@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1005,2105,Oswald,Cobblepot,040100105,ocobblepot@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1006,2106,Harvey,Dent,040100106,hdent@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1007,2107,Pamela,Isley,040100107,pisley@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1008,2108,Edward,Nashton,040100108,enashton@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1009,2109,Kate,Kane,040100109,kkane@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1010,2110,Jason,Todd,040100110,jtodd@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
