Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,(a) Uses separate public and private keys,(b) Both parties share the same secret key,(c) Requires no key; security via obscurity,(d) A side effect of digital signature schemes,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2001,Alice,Nakamura,040100101,anakamura@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1002,2002,Bob,Okonkwo,040100102,bokonkwo@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1003,2003,Carmen,Delgado,040100103,cdelgado@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1004,2004,Devon,Hartley,040100104,dhartley@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1005,2005,Elena,Vasquez,040100105,evasquez@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1006,2006,Frank,Osei,040100106,fosei@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1007,2007,Grace,Lindqvist,040100107,glindqvist@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1008,2008,Hiro,Tanaka,040100108,htanaka@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1009,2009,Ines,Moreau,040100109,imoreau@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1010,2010,James,Kowalczyk,040100110,jkowalczyk@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,false,false,false,true,,,Grader,
