Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,(a) It is computationally hard to find any input that maps to a given hash,(b) All inputs produce a hash of the same length,(c) It is computationally hard to find two distinct inputs with the same hash,(d) Hash computation always takes constant time,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2011,Bruce,Wayne,040100101,bwayne@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1002,2012,Dick,Grayson,040100102,dgrayson@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1003,2013,Barbara,Gordon,040100103,bgordon@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1004,2014,Selina,Kyle,040100104,skyle@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1005,2015,Oswald,Cobblepot,040100105,ocobblepot@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1006,2016,Harvey,Dent,040100106,hdent@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1007,2017,Pamela,Isley,040100107,pisley@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1008,2018,Edward,Nashton,040100108,enashton@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1009,2019,Kate,Kane,040100109,kkane@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1010,2020,Jason,Todd,040100110,jtodd@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
