Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,(a) The sender's private key,(b) A Diffie-Hellman session key,(c) The recipient's private key,(d) The recipient's public key,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2021,Alice,Nakamura,040100101,anakamura@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1002,2022,Bob,Okonkwo,040100102,bokonkwo@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1003,2023,Carmen,Delgado,040100103,cdelgado@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1004,2024,Devon,Hartley,040100104,dhartley@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1005,2025,Elena,Vasquez,040100105,evasquez@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1006,2026,Frank,Osei,040100106,fosei@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1007,2027,Grace,Lindqvist,040100107,glindqvist@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1008,2028,Hiro,Tanaka,040100108,htanaka@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1009,2029,Ines,Moreau,040100109,imoreau@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1010,2030,James,Kowalczyk,040100110,jkowalczyk@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
