Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,(a) Grant each process the maximum privileges it might ever need,(b) Share a single root account across all administrators,(c) Assign a mandatory label to every subject and object,(d) Grant only the minimum privileges required for the task,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2041,Bruce,Wayne,040100101,bwayne@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1002,2042,Dick,Grayson,040100102,dgrayson@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1003,2043,Barbara,Gordon,040100103,bgordon@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1004,2044,Selina,Kyle,040100104,skyle@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,true,false,false,false,,,Grader,
1005,2045,Oswald,Cobblepot,040100105,ocobblepot@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1006,2046,Harvey,Dent,040100106,hdent@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1007,2047,Pamela,Isley,040100107,pisley@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,false,false,,,Grader,
1008,2048,Edward,Nashton,040100108,enashton@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
1009,2049,Kate,Kane,040100109,kkane@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,false,true,false,false,,,Grader,
1010,2050,Jason,Todd,040100110,jtodd@student.csulb.edu,CECS 378-01,4,2026-06-09 11:00:00 -0700,false,false,false,true,false,,,Grader,
