Assignment Submission ID,Question Submission ID,First Name,Last Name,SID,Email,Sections,Score,Submission Time,True,False,No answer / multiple marks,Adjustment,Comments,Grader,Tags
1001,2091,Alice,Nakamura,040100101,anakamura@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1002,2092,Bob,Okonkwo,040100102,bokonkwo@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1003,2093,Carmen,Delgado,040100103,cdelgado@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1004,2094,Devon,Hartley,040100104,dhartley@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1005,2095,Elena,Vasquez,040100105,evasquez@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1006,2096,Frank,Osei,040100106,fosei@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1007,2097,Grace,Lindqvist,040100107,glindqvist@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,true,false,false,,,Grader,
1008,2098,Hiro,Tanaka,040100108,htanaka@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1009,2099,Ines,Moreau,040100109,imoreau@student.csulb.edu,CECS 378-01,2,2026-06-09 11:00:00 -0700,false,true,false,,,Grader,
1010,2100,James,Kowalczyk,040100110,jkowalczyk@student.csulb.edu,CECS 378-01,0,2026-06-09 11:00:00 -0700,false,false,true,,,Grader,
