github_id,student,repo,points,honor_ok,all_failed,cleared,commits,spread_days,triage_bucket,doc_present,sources,repo_url,feedback_pr,writeup_score,writeup_comment,student_comment,writeup_flags
bruce-wayne,Bruce Wayne,cecs-378-su26-01-lab-03-buffer-overflow-bruce-wayne,70,True,False,phi omega,18,29.4,PASS,True,2,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-bruce-wayne,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-bruce-wayne/pull/1,30,All sections strong; mechanism-causal throughout; Omega full.,"Outstanding after-action report. RECON derives the offset from your own leaked buffer/saved-EIP pair; Phase Phi ties every shellcode stage to a reason; Phase Omega is complete end-to-end — libc base from the printf leak, the setreuid privilege fix with a man-page cite, and a real pop/pop/ret gadget with disassembly. Nothing to add.",
barbara-gordon,Barbara Gordon,cecs-378-su26-01-lab-03-buffer-overflow-barbara-gordon,70,True,False,phi omega,22,30.1,PASS,True,3,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-barbara-gordon,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-barbara-gordon/pull/1,29,Strong throughout; Omega thin on one sub-part.,"Excellent, mechanism-first write-up. Both phases are explained at the byte level and your reflections are concrete. To reach full on Phase Omega, show the numeric libc offsets your commands returned rather than describing them. Great work.",
dick-grayson,Dick Grayson,cecs-378-su26-01-lab-03-buffer-overflow-dick-grayson,70,True,False,phi omega,14,28.7,PASS,True,1,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-dick-grayson,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-dick-grayson/pull/1,27,Solid; recon one binary; Omega missing a sub-part.,"Strong report. Phase Phi is exact and your Omega ret2libc chain is clearly reasoned. Two gaps: paste vuln2's own gdb output in RECON, and add the pop/pop/ret disassembly in Phase Omega. Well done.",
kate-kane,Kate Kane,cecs-378-su26-01-lab-03-buffer-overflow-kate-kane,70,True,False,phi omega,11,30.6,PASS,True,1,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-kate-kane,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-kate-kane/pull/1,26,"Good; Phi solid, Omega missing a sub-part; recon one binary.","Nice work — both phases land and your leak-then-pwn explanation is clear. For full marks, paste both binaries' gdb output and add the setreuid man-page citation in Phase Omega.",
harvey-dent,Harvey Dent,cecs-378-su26-01-lab-03-buffer-overflow-harvey-dent,60,True,False,phi,9,30.5,PASS,True,0,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-harvey-dent,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-harvey-dent/pull/1,18,Phi solid; Omega left as template placeholders (unattempted).,"Your Phase Phi walkthrough is solid — the sub-esp guard, the setreuid privilege fix, and the NOP-sled sizing are all here. Phase Omega was left as template placeholders; even without a working exploit you earn most of those points by writing up the NX fail-analysis, the libc offsets, and the pop/pop/ret gadget. Give the ret2libc walkthrough a try.",
pamela-isley,Pamela Isley,cecs-378-su26-01-lab-03-buffer-overflow-pamela-isley,60,True,False,phi,6,29.9,REVIEW,True,0,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-pamela-isley,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-pamela-isley/pull/1,17,"Phi ok; Omega blank; recon thin (vuln1 only, implicit arithmetic).","Good Phase Phi engagement. Two things to tighten: RECON needs the explicit offset subtraction and both binaries' gdb output, and Phase Omega is unfilled — the ret2libc mechanism is worth writing up even without a passing exploit.",
oswald-cobblepot,Oswald Cobblepot,cecs-378-su26-01-lab-03-buffer-overflow-oswald-cobblepot,60,True,False,phi,7,30.2,PASS,True,0,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-oswald-cobblepot,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-oswald-cobblepot/pull/1,15,Phi generic; Omega blank; aftermath thin.,"Your Phase Phi exploit passed, but the walkthrough is generic — tie it to specific lines of your own exploit1.c. Phase Omega is left as placeholders; completing the ret2libc write-up is the biggest available gain. Flesh out the reflections too.",
edward-nashton,Edward Nashton,cecs-378-su26-01-lab-03-buffer-overflow-edward-nashton,0,True,True,,12,30.0,PASS,True,1,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-edward-nashton,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-edward-nashton/pull/1,12,FAILED BOTH PHASES (honor ok); Phi walkthrough has merit; Omega ~blank; no screenshots.,"Right now neither exploit lands in the autograder, but your RECON and Phase Phi reasoning show real understanding. Get a working shell on vuln1 first, then fill the Phase Omega section. Please come to office hours — there's credit waiting once the exploits work and the sections are filled.",
jason-todd,Jason Todd,cecs-378-su26-01-lab-03-buffer-overflow-jason-todd,70,True,False,phi omega,10,30.3,PASS,True,1,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-jason-todd,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-jason-todd/pull/1,,,,
selina-kyle,Selina Kyle,cecs-378-su26-01-lab-03-buffer-overflow-selina-kyle,,,,,,,,False,0,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-selina-kyle,https://github.com/Gotham-CECS/cecs-378-su26-01-lab-03-buffer-overflow-selina-kyle/pull/1,,,,
